,Train Loss
0,0.240878422498703
1,0.2244192734559377
2,0.21908428881963093
3,0.21821243178049723
4,0.21787151014010112
5,0.2176297507206599
6,0.21749915817578633
7,0.2173189330259959
8,0.2172178723494212
9,0.2171005352417628
10,0.21698911681175231
11,0.21691386988162994
12,0.21682461765607197
13,0.2168373524347941
14,0.21674130641619366
15,0.21669987517992656
16,0.21669295156002044
17,0.21662588960329693
18,0.21662213481267292
19,0.21657497498194378
20,0.21655987428029377
21,0.2165352408250173
22,0.21646098272800446
23,0.21647683725357056
24,0.21640861553351085
25,0.21642360467910768
26,0.21636743206183115
27,0.2163772919178009
28,0.21636388266881307
29,0.21636868566672007
30,0.21634923242727916
31,0.21631012653509776
32,0.21630690507094066
33,0.21630871750513714
34,0.21627404946486156
35,0.21626255095005034
36,0.21625886920293172
37,0.2162150646686554
38,0.21625055827299755
39,0.21625139526526133
40,0.2161792650858561
41,0.21621242202917734
42,0.21617517279783885
43,0.21619430468877157
44,0.21616986152331033
45,0.2161510991891225
46,0.216141037718455
47,0.21614955892562865
48,0.21612062730789183
49,0.2161598086198171
